,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type
74,52078963,Rawalpindi,2.0,,,,,,6.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2722.0,24981.63,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi,Houses
75,51351115,Rawalpindi,,4.0,5.0,1.0,2.0,0.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,13960.32,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
76,52107528,Rawalpindi,1.0,4.0,4.0,1.0,1.0,0.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,1361.0,13960.32,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
77,52107625,Rawalpindi,1.0,3.0,4.0,0.0,2.0,0.0,10.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,18365.47,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
78,52107538,Rawalpindi,2.0,3.0,4.0,1.0,2.0,2.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12490.82,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
79,52101100,Rawalpindi,,5.0,7.0,1.0,2.0,0.0,8.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,16437.1,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
80,51352466,Rawalpindi,,4.0,6.0,0.0,2.0,0.0,1.9, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Undefined,1361.0,13960.32,Airport Housing Society ,Punjab,Airport Housing Society,Houses
81,51614310,Rawalpindi,,5.0,5.0,0.0,2.0,0.0,2.7, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,9919.18,Gulshan Abad Sector 2,Punjab,Gulshan Abad,Houses
82,52091874,Rawalpindi,3.0,5.0,6.0,0.0,2.0,0.0,3.29, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2722.0,12086.7,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
83,51875976,Rawalpindi,2.0,5.0,6.0,0.0,2.0,0.0,2.6, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,2178.0,11937.56,Snober City,Punjab,Adiala Road,Houses
84,51116208,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,1.25, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,9184.42,Snober City,Punjab,Adiala Road,Houses
85,51554173,Rawalpindi,3.0,2.0,2.0,2.0,1.0,1.0,1.05, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,7714.92,Snober City,Punjab,Adiala Road,Houses
86,51875275,Rawalpindi,1.0,3.0,3.0,1.0,1.0,1.0,1.2, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,11019.28,Snober City,Punjab,Adiala Road,Houses
87,52009345,Rawalpindi,2.0,3.0,3.0,0.0,0.0,0.0,1.4, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,10286.55,Snober City,Punjab,Adiala Road,Houses
88,52110098,,,1.0,1.0,0.0,1.0,0.0,3.33, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2015.0,16526.05,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
89,51921711,Rawalpindi,2.0,5.0,6.0,1.0,2.0,0.0,3.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2722.0,14511.39,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
