,House Number,City,Name,sub_name,description,House Type,Year,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Area,Purpose,Location,Age Possession
10,50620388,Rawalpindi,10 Marla Extra Land House For Sale In Phase 3 Bahria Town Rawalpindi,"Bahria Town Phase 3, Bahria Town Rawalpindi, Rawalpindi, Punjab",10 Marla With 3 Marla Extra Land 5 Bed Room With Drawing Room Attached Wash Room Corner Double Side Parking Gate For Sale In For Sale In Phase 3 Bahria Town Rawalpindi Islamabad,Rawalpindi Houses,,,,,,,,6.9, 13 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined
11,51279481,Rawalpindi,10 Marla Double Storey Double Unit House Available For Sale,"Gulshan Abad, Rawalpindi, Punjab",10 marla double story double unit brand new house available for sale in Gulshan Abad . All basic facilities are available. Near to market Near to mosque.,Rawalpindi Houses,2024.0,,6.0,6.0,0.0,2.0,1.0,3.3, 10 Marla, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New
12,51512912,Rawalpindi,Luxury 10 Marla House In Bahria Town,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","10 Marla Beautiful House For Sale In Bahria TownHaving Excellent Interior And Exterior. 5 Beds With Attach BathsTiled FlooringLawnCar Porch For 3 Cars. Imported Fittings And Fixtures. Ash Wood. Balconies And Terraces. Beautiful House And Beautiful Location. It Is The Only Housing Scheme, In Which You Can Enjoy Luxuries Of Life Very Economically. Shopping, Zoo, Parks, Hospital, Mosque, School, College s, Cinemas, Restaurants And Tennis Club Etc. Contact Us For More Details",Rawalpindi Houses,2024.0,,5.0,6.0,1.0,2.0,1.0,5.5, 10 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
13,51263545,Rawalpindi,Centrally Located On Excellent Location House For Sale In Bahria Greens - Overseas Enclave Available,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","The perfect 35 Marla House is available for sale now in Bahria Greens - Overseas Enclave. A house in Bahria Greens - Overseas Enclave will bring you the best lifestyle, so don't wait further to make a decision. Protect your future, purchase this property today. Live your dream life in Rawalpindi. House you've been looking for is available at the best price, so take action today. The property is secure and well-constructed with modern features, so a demand of PKR Rs. 162500000 is quite reasonable. Read below to find out what this property offers. A barbeque area also adjoins the place and is perfect to entertain small gatherings. Your kids can play to their heart's content in the play area adjoining the property. Kids can freely play at the garden near the House. Thanks to the dining room in the House, you can host your guests peacefully and serve your meals just the way you like. Keep in touch with your friends and family with broadband internet access. Feeling stressed? Take a dip in the Jacuzzi and you will be fine in no time. Sauna has proven health benefits and you can avail them too now. We can help you find the best property that suits your needs, so contact us today for more information.",Rawalpindi Houses,2024.0, 3 ,5.0,7.0,1.0,2.0,2.0,16.25, 1.7 Kanal, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
14,51665203,Rawalpindi,10 Marla Designer House Is Available For Sale In Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Discover Your Dream Home in Bahria Phase 8!Step into luxury with this grand 10 Marla house located on the prestigious Boulevard Road! Perfectly designed for spacious living, this meticulously crafted property features: 5 Generously Sized Bedrooms for ultimate comfort and privacy6 Modern Bathrooms ensuring convenience for all family members2 Contemporary Kitchens equipped with high-end fixturesperfect for hosting and meal prep!2 Spacious Lounges ideal for relaxation and entertaining guestsFormal Drawing Room adds elegance to your living spaceDedicated Servant Quarter for comfortable support staff livingFor your peace of mind, the house is equipped with CCTV cameras and essential utilities like electricity and enjoy leisure time  Prime Location: Bahria Phase 8, Key Features: Double portion layout for extra space Note: No gas connection or solar panels installedDont miss the chance to own this exquisite property! Contact us for more details or to schedule a visit. #BahriaPhase8 #LuxuryLiving #DreamHome #RealEstate #ForSale",Rawalpindi Houses,,,5.0,6.0,1.0,2.0,0.0,4.25, 10 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined
15,48256782,Rawalpindi,Beautifully Designed 5 Marla Singel Story Brand New House Available For Sale In Airport Housing Society,"Airport Housing Society, Rawalpindi, Punjab",Beautifully designed 5 Marla Singel Story house for sale in Airport Housing Society Sector 4 Rawalpindi Street 30feet wide Size 25 front 50 lengthElectricity available Water Supply Solid Construction Good Quality Bricks Used Near to Market Walking distance from mosque Details 2 bedroom 2 washroom 1 kitchen 1 t. V lounge 1 Drawing room1 car Parking Demand 1 caror 20 lacAll documents ReadyFor More details contact us,Rawalpindi Houses,2023.0, 1 ,2.0,3.0,1.0,1.0,1.0,1.2, 5 Marla, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New
16,49887112,Rawalpindi,Beautifully Designed 8 Marla Double Storey House ARCHITECT DESIGNED HOUSE FOR SALE In Airport Housing Society,"Airport Housing Society, Rawalpindi, Punjab","Beautifully designed 8 Marla Double House for sale in Airport Housing Society Rawalpindi * Double Story**GROUND FLOOR *3 Bedrooms3 baths Drawing Room, wide TV Lounge and Kitchen Big Car Porch for 3 cars*FIRST FLOOR*3 Room ,3 bathsDrawing and kitchenTV lounge All documents Ready ELectricity meter installed Water Supply Water Boor Gas Available Demand 2_Caror_50 lacFor More details contact us",Rawalpindi Houses,2022.0, 4 ,7.0,6.0,1.0,2.0,1.0,2.5, 8 Marla, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New
17,47304990,Rawalpindi,4.5 Marla Single Storey House For Sale At Adiala Road,"Samarzar Housing Society, Rawalpindi, Punjab",4.5 Marla Single Storey Corner House At Samerzar2 Bed RoomDrawing RoomTV LoungeOpen KitchenCar Porch3 BathWater BoringSui GasDeyar Wood WorkVery Near To Market,Rawalpindi Houses,2019.0, 3 ,7.0,8.0,2.0,1.0,2.0,0.76, 4 Marla, For Sale,"Samarzar Housing Society, Rawalpindi, Punjab, ",New Property
18,51856097,Rawalpindi,6 Marla Single Storey House For Sale At Samerzar,"Adiala Road, Rawalpindi, Punjab",6 Marla Single Story House For Sale 2 Bedroom 3 Bathroom Drawing Room TV Longe Open kitchen Big Car Porch For 2 Vehicle Water Boring Slightly Negotiation in price,Rawalpindi Houses,,,,,,,,0.78, 6 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined
19,51912080,Rawalpindi,5 Marla Double Story Double Unit House For Sale In Snober City,"Snober City, Adiala Road, Rawalpindi, Punjab",5 Marla Double Story Double Unit House For Sale4 Bed Room6 Bathroom2 Kitchens2 Drawing Room2 TV LoungeCar PorchMumtyPrice Is Almost Final,Rawalpindi Houses,,,,,,,,0.95, 5 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined
