Unnamed: 0,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type
11,51279481,Rawalpindi,,6.0,6.0,0.0,2.0,1.0,3.3, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,12123.0,Gulshan Abad,Punjab,Gulshan Abad,Houses
12,51512912,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20206.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
13,51263545,Rawalpindi,3.0,5.0,7.0,1.0,2.0,2.0,16.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,9256.0,17556.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
14,51665203,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,15614.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
15,48256782,Rawalpindi,1.0,2.0,3.0,1.0,1.0,1.0,1.2, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,8817.0,Airport Housing Society,Punjab,Airport Housing Society,Houses
16,49887112,Rawalpindi,4.0,7.0,6.0,1.0,2.0,1.0,2.5, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,11478.0,Airport Housing Society,Punjab,Airport Housing Society,Houses
17,47304990,Rawalpindi,3.0,7.0,8.0,2.0,1.0,2.0,0.76, For Sale,"Samarzar Housing Society, Rawalpindi, Punjab, ",New Property,1089.0,6979.0,Samarzar Housing Society,Punjab,Samarzar Housing Society,Houses
22,48279907,Rawalpindi,,3.0,3.0,1.0,2.0,1.0,0.62, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,953.0,6506.0,Adiala Road,Punjab,Adiala Road,Houses
24,49516670,Rawalpindi,,5.0,6.0,2.0,3.0,2.0,1.28, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,4702.0,Gulshan Abad,Punjab,Gulshan Abad,Houses
27,52091401,Rawalpindi,4.0,7.0,8.0,1.0,3.0,1.0,14.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,26446.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
29,51881632,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,4.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4900.0,8776.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
30,52094125,Rawalpindi,1.0,2.0,3.0,0.0,1.0,0.0,1.03, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,7568.0,Snober City,Punjab,Adiala Road,Houses
31,45256816,,1.0,3.0,3.0,1.0,1.0,0.0,3.15, For Sale,"Askari 14, Rawalpindi, Punjab, ",New Property,2722.0,11572.0,Askari 14,Punjab,Askari 14,
