City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,4.75
2.0,1.0,8.0,10.0,1.0,3.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.45
2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2722.0,34.0,0.0,1.0,4.3
2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2722.0,16.0,0.0,1.0,2.45
2.0,2.0,5.0,6.0,1.0,2.0,1.0,5.0,2450.0,40.0,0.0,1.0,4.25
2.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,2722.0,146.0,0.0,1.0,2.7
2.0,2.0,3.0,3.0,0.0,1.0,0.0,4.0,1361.0,40.0,0.0,1.0,1.55
2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2178.0,40.0,0.0,1.0,2.1
2.0,1.0,8.0,10.0,1.0,3.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.45
2.0,2.0,5.0,6.0,0.0,2.0,0.0,3.0,1906.0,40.0,0.0,1.0,2.38
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,39.0,0.0,1.0,3.4
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,3.8
2.0,3.0,5.0,6.0,1.0,2.0,2.0,3.0,4628.0,22.0,0.0,1.0,8.95
2.0,1.0,5.0,5.0,1.0,2.0,1.0,2.0,1361.0,128.0,0.0,1.0,1.15
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2995.0,22.0,0.0,1.0,5.5
2.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1361.0,3.0,0.0,1.0,1.5
2.0,3.0,7.0,6.0,1.0,2.0,1.0,4.0,1361.0,52.0,0.0,1.0,1.1
2.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1089.0,149.0,0.0,1.0,1.36
2.0,1.0,5.0,6.0,1.0,2.0,1.0,3.0,4356.0,96.0,0.0,1.0,3.6
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,4.7
2.0,4.0,6.0,7.0,1.0,2.0,2.0,3.0,10890.0,40.0,0.0,1.0,18.0
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,3539.0,22.0,0.0,1.0,6.95
2.0,4.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,34.0,0.0,1.0,10.75
2.0,1.0,5.0,6.0,1.0,1.0,1.0,3.0,1906.0,40.0,0.0,1.0,2.15
2.0,2.0,4.0,6.0,2.0,2.0,2.0,4.0,2314.0,163.0,0.0,1.0,2.6
2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,2722.0,34.0,0.0,1.0,3.8
2.0,3.0,6.0,6.0,1.0,2.0,0.0,0.0,5445.0,35.0,0.0,1.0,7.95
2.0,2.0,5.0,5.0,1.0,1.0,1.0,0.0,2722.0,33.0,0.0,1.0,3.6
2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1361.0,40.0,0.0,1.0,1.05
2.0,3.0,6.0,6.0,1.0,2.0,1.0,0.0,3267.0,95.0,0.0,1.0,3.5
2.0,4.0,4.0,5.0,2.0,1.0,2.0,3.0,1361.0,163.0,0.0,1.0,1.35
