House Number,City,House Type,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society
49388905,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,1.0,2.0,1.0,13.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,23875.11,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi
51638390,Rawalpindi,Rawalpindi Houses,1.0,1.0,1.0,1.0,1.0,1.0,6.0, For Sale,"Askari 14, Rawalpindi, Punjab, ",Undefined,2722.0,22042.62,Askari 14,Punjab,Askari 14
52005356,Rawalpindi,Rawalpindi Houses,3.0,4.0,6.0,1.0,1.0,1.0,3.0, For Sale,"Askari 14, Rawalpindi, Punjab, ",Moderately Old,6534.0,4591.37,Askari 14,Punjab,Askari 14
51994406,Rawalpindi,Rawalpindi Houses,2.0,4.0,6.0,1.0,2.0,1.0,3.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,14511.39,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
52031147,,,,1.0,1.0,1.0,0.0,1.0,0.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,681.0,8810.57,Bahria Town ,Punjab,Bahria Town Rawalpindi
51724730,Rawalpindi,Rawalpindi Houses,2.0,5.0,5.0,1.0,2.0,1.0,2.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,14690.45,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51724554,Rawalpindi,Rawalpindi Houses,2.0,5.0,5.0,1.0,2.0,2.0,2.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,14428.12,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51968795,Rawalpindi,Rawalpindi Houses,2.0,2.0,2.0,0.0,1.0,0.0,1.47, For Sale,"Janjua Town, Rawalpindi, Punjab, ",Relatively New,1361.0,10800.88,Janjua Town,Punjab,Janjua Town
51352172,Rawalpindi,Rawalpindi Houses,1.0,4.0,4.0,1.0,1.0,1.0,2.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,16531.96,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51311199,Rawalpindi,Rawalpindi Houses,,7.0,8.0,1.0,3.0,0.0,3.05, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2178.0,14003.67,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51993827,Rawalpindi,Rawalpindi Houses,2.0,5.0,5.0,1.0,2.0,1.0,2.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,16531.96,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
49132862,Rawalpindi,Rawalpindi Houses,,3.0,4.0,0.0,0.0,0.0,1.23, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined,1361.0,9037.47,Snober City,Punjab,Adiala Road
52109469,Rawalpindi,Rawalpindi Houses,,0.0,0.0,0.0,0.0,0.0,3.66, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,19202.52,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52109302,Rawalpindi,Rawalpindi Houses,,0.0,0.0,0.0,0.0,0.0,14.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,6534.0,22880.32,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi
52091460,Rawalpindi,Rawalpindi Houses,3.0,4.0,5.0,0.0,1.0,0.0,3.2, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,11756.06,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
52061373,Rawalpindi,Rawalpindi Houses,,4.0,4.0,0.0,2.0,0.0,2.55, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,1361.0,18736.22,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51966509,Rawalpindi,Rawalpindi Houses,,,,,,,2.1, For Sale,"Caltex Road, Rawalpindi, Punjab, ",Undefined,1361.0,15429.83,Caltex Road,Punjab,Caltex Road
46234055,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,1.0,2.0,1.0,9.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,17079.89,Bahria Town Phase 5,Punjab,Bahria Town Rawalpindi
51275216,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,6.0,2.0,1.0,18.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,33057.85,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi
48991877,Rawalpindi,Rawalpindi Houses,4.0,7.0,7.0,1.0,2.0,1.0,10.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,19100.09,Bahria Greens ,Punjab,Bahria Town Rawalpindi
52080372,Rawalpindi,Rawalpindi Houses,2.0,5.0,6.0,1.0,2.0,1.0,6.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2722.0,24981.63,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi
49622469,Rawalpindi,Rawalpindi Houses,4.0,5.0,6.0,1.0,2.0,1.0,5.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4356.0,13314.97,Bahria Greens ,Punjab,Bahria Town Rawalpindi
52074767,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,1.0,2.0,1.0,6.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2722.0,24981.63,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi
52037115,Rawalpindi,Rawalpindi Houses,,0.0,0.0,1.0,0.0,1.0,11.25, For Sale,"Media Town, Rawalpindi, Punjab, ",Undefined,5445.0,20661.16,Media Town,Punjab,Media Town
52073726,,,,1.0,1.0,0.0,0.0,0.0,0.67, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,572.0,11713.29,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi
51642000,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,3.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,12307.13,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51596474,Rawalpindi,Rawalpindi Houses,,3.0,4.0,1.0,1.0,1.0,1.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,13592.95,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51611700,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,2.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,14428.12,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51711535,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,1.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,16531.96,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51615593,Rawalpindi,Rawalpindi Houses,4.0,5.0,5.0,1.0,2.0,0.0,5.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,3539.0,15823.68,Bahria Greens ,Punjab,Bahria Town Rawalpindi
47904227,Rawalpindi,Rawalpindi Houses,3.0,6.0,6.0,1.0,1.0,1.0,9.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,18181.82,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi
52053733,,,100.0,2.0,2.0,0.0,1.0,0.0,0.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1089.0,7805.33,Bahria Town ,Punjab,Bahria Town Rawalpindi
52059304,,,100.0,1.0,1.0,0.0,1.0,0.0,0.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,626.0,5591.05,Bahria Town ,Punjab,Bahria Town Rawalpindi
51523095,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20205.73,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi
52014067,Rawalpindi,Rawalpindi Houses,,4.0,4.0,1.0,2.0,1.0,2.2, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,10101.01,Airport Housing Society,Punjab,Airport Housing Society
46695227,Rawalpindi,Rawalpindi Houses,,6.0,7.0,2.0,2.0,0.0,15.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,10890.0,13774.1,Bahria Greens ,Punjab,Bahria Town Rawalpindi
52086370,Rawalpindi,Rawalpindi Houses,1.0,2.0,2.0,0.0,1.0,0.0,1.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1361.0,8449.67,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51997405,,,4.0,5.0,6.0,3.0,2.0,1.0,1.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1933.0,9570.62,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi
51204389,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,1.0,14.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,6534.0,22880.32,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi
51273874,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,1.0,8.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,15610.65,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51470893,Rawalpindi,Rawalpindi Houses,1.0,3.0,4.0,1.0,1.0,0.0,2.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,14695.08,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
45421858,Rawalpindi,Rawalpindi Houses,2.0,5.0,7.0,1.0,2.0,1.0,3.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,13592.95,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
43542179,Rawalpindi,Rawalpindi Houses,5.0,5.0,0.0,0.0,2.0,0.0,2.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,14165.79,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52072686,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,2.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,4084.0,11018.61,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52046942,Rawalpindi,Rawalpindi Houses,1.0,3.0,4.0,1.0,1.0,1.0,1.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,13225.57,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52046914,Rawalpindi,Rawalpindi Houses,1.0,3.0,4.0,1.0,1.0,1.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12490.82,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52058820,Rawalpindi,Rawalpindi Houses,2.0,5.0,6.0,1.0,2.0,1.0,5.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,19287.29,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi
50170542,Rawalpindi,Rawalpindi Houses,5.0,6.0,7.0,2.0,4.0,1.0,7.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,6534.0,11325.37,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51613137,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,2.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,12067.16,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
52000895,,,,0.0,0.0,0.0,0.0,0.0,1.5,,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,,,Bahria Business District ,Punjab,Bahria Town Rawalpindi
52035638,Rawalpindi,Rawalpindi Houses,,4.0,5.0,1.0,1.0,0.0,8.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,4900.0,17346.94,Bahria Town ,Punjab,Bahria Town Rawalpindi
51999575,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,3.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2995.0,11686.14,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi
51985279,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,3.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,13225.57,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi
51611642,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,0.0,5.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4900.0,10714.29,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51595199,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,0.0,4.1, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15062.45,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52020239,Rawalpindi,Rawalpindi Houses,,3.0,3.0,1.0,2.0,1.0,1.5, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1634.0,9179.93,Airport Housing Society,Punjab,Airport Housing Society
51205006,Rawalpindi,Rawalpindi Houses,1.0,2.0,2.0,1.0,1.0,0.0,0.64, For Sale,"Range Road, Rawalpindi, Punjab, ",Relatively New,544.0,11764.71,Range Road,Punjab,Range Road
51432314,Rawalpindi,Rawalpindi Houses,2.0,6.0,6.0,1.0,2.0,0.0,5.5, For Sale,"Range Road, Rawalpindi, Punjab, ",Relatively New,3294.0,16697.02,Range Road,Punjab,Range Road
49607472,Rawalpindi,Rawalpindi Houses,1.0,4.0,5.0,1.0,1.0,1.0,1.6, For Sale,"Misryal Road, Rawalpindi, Punjab, ",Relatively New,1634.0,9791.92,New Westridge,Punjab,Misryal Road
49056310,Rawalpindi,Rawalpindi Houses,1.0,4.0,5.0,1.0,2.0,1.0,1.85, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,13592.95,Airport Housing Society ,Punjab,Airport Housing Society
52108775,Rawalpindi,Rawalpindi Houses,,0.0,0.0,0.0,0.0,0.0,12.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,22497.7,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi
50206833,Rawalpindi,Rawalpindi Houses,,2.0,2.0,0.0,2.0,0.0,0.55, For Sale,"Range Road, Rawalpindi, Punjab, ",Undefined,817.0,6731.95,Range Road,Punjab,Range Road
52108714,Rawalpindi,Rawalpindi Houses,1.0,5.0,6.0,1.0,2.0,1.0,3.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2995.0,11686.14,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52108690,Rawalpindi,Rawalpindi Houses,1.0,3.0,4.0,1.0,1.0,1.0,1.65, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12123.44,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
49675006,Rawalpindi,Rawalpindi Houses,3.0,5.0,7.0,1.0,2.0,1.0,2.2, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,11542.5,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
49615257,Rawalpindi,Rawalpindi Houses,1.0,5.0,7.0,1.0,2.0,1.0,2.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,13116.47,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
49223180,Rawalpindi,Rawalpindi Houses,3.0,3.0,3.0,0.0,1.0,1.0,4.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,14695.08,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi
45188688,Rawalpindi,Rawalpindi Houses,,5.0,6.0,0.0,2.0,0.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,13960.32,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
50538717,Rawalpindi,Rawalpindi Houses,3.0,6.0,6.0,1.0,2.0,1.0,6.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4084.0,15058.77,Bahria Greens ,Punjab,Bahria Town Rawalpindi
52035331,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,6.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,22593.68,Bahria Town Phase 5,Punjab,Bahria Town Rawalpindi
51962452,Rawalpindi,Rawalpindi Houses,6.0,6.0,7.0,1.0,3.0,2.0,18.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,9801.0,18365.47,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51970885,Rawalpindi,Rawalpindi Houses,4.0,5.0,6.0,1.0,3.0,1.0,16.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,30853.99,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi
52001732,Rawalpindi,Rawalpindi Houses,,5.0,5.0,0.0,1.0,1.0,14.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,26629.94,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi
51981515,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,1.0,2.0,1.0,9.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,16528.93,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51262771,Rawalpindi,Rawalpindi Houses,,5.0,5.0,1.0,2.0,2.0,4.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,8815.43,Bahria Town Phase 6,Punjab,Bahria Town Rawalpindi
51974904,Rawalpindi,Rawalpindi Houses,8.0,9.0,10.0,3.0,2.0,2.0,7.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,4628.0,17070.01,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51974906,Rawalpindi,Rawalpindi Houses,1.0,4.0,4.0,1.0,0.0,1.0,9.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,16528.93,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51981512,Rawalpindi,Rawalpindi Houses,3.0,5.0,6.0,1.0,2.0,1.0,10.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,19100.09,Bahria Greens ,Punjab,Bahria Town Rawalpindi
52108553,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,2.0,4.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,14695.08,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
48246948,Rawalpindi,Rawalpindi Houses,2.0,5.0,6.0,1.0,2.0,1.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,2722.0,13776.63,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi
52102051,Rawalpindi,Rawalpindi Houses,1.0,4.0,4.0,1.0,2.0,1.0,1.85, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,13592.95,Airport Housing Society ,Punjab,Airport Housing Society
49228622,,,,1.0,1.0,0.0,1.0,1.0,0.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,898.0,8908.69,Bahria Town ,Punjab,Bahria Town Rawalpindi
51969461,Rawalpindi,Rawalpindi Houses,1.0,3.0,4.0,1.0,1.0,1.0,5.0, For Sale,"Gulraiz Housing Scheme, Rawalpindi, Punjab, ",Undefined,3267.0,15304.56,Gulraiz Housing Scheme,Punjab,Gulraiz Housing Scheme
51707555,Rawalpindi,Rawalpindi Houses,4.0,2.0,2.0,1.0,1.0,2.0,0.62, For Sale,"Samarzar Housing Society, Rawalpindi, Punjab, ",Relatively New,817.0,7588.74,Samarzar Housing Society,Punjab,Samarzar Housing Society
51901247,Rawalpindi,Rawalpindi Houses,,3.0,4.0,0.0,2.0,1.0,1.2, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined,1089.0,11019.28,Snober City,Punjab,Adiala Road
40966074,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,3812.0,11804.83,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
37264255,Rawalpindi,Rawalpindi Houses,,3.0,5.0,1.0,1.0,1.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,13960.32,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52108665,Rawalpindi,Rawalpindi Houses,1.0,4.0,5.0,0.0,2.0,1.0,1.4, For Sale,"Munawar Colony, Rawalpindi, Punjab, ",New Property,1089.0,12855.83,Munawar Colony,Punjab,Munawar Colony
51896056,Rawalpindi,Rawalpindi Houses,2.0,5.0,5.0,1.0,2.0,0.0,2.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,14690.45,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51875096,Rawalpindi,Rawalpindi Houses,3.0,4.0,5.0,1.0,1.0,0.0,4.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,3539.0,12150.32,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51825015,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,0.0,3.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,11572.37,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51761211,Rawalpindi,Rawalpindi Houses,2.0,5.0,5.0,1.0,2.0,0.0,2.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,14690.45,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52001850,Rawalpindi,Rawalpindi Houses,,1.0,1.0,1.0,1.0,1.0,1.65, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,12123.44,Adiala Road,Punjab,Adiala Road
52042120,Rawalpindi,Rawalpindi Houses,1.0,5.0,5.0,1.0,1.0,1.0,2.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12067.16,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52041911,Rawalpindi,Rawalpindi Houses,1.0,5.0,6.0,1.0,2.0,1.0,2.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12591.82,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52041812,Rawalpindi,Rawalpindi Houses,1.0,5.0,6.0,1.0,2.0,1.0,2.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,11804.83,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52042035,Rawalpindi,Rawalpindi Houses,1.0,5.0,6.0,1.0,2.0,1.0,2.2, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,11542.5,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52070898,Rawalpindi,Rawalpindi Houses,,6.0,6.0,0.0,0.0,0.0,1.65, For Sale,"Taj Residencia, Rawalpindi, Punjab, ",Undefined,1361.0,12123.44,Taj Residencia ,Punjab,Taj Residencia
51999004,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,4.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,17634.09,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51981513,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,4.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,16899.34,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51274659,Rawalpindi,Rawalpindi Houses,,6.0,6.0,0.0,2.0,0.0,1.65, For Sale,"Taj Residencia, Rawalpindi, Punjab, ",Undefined,1361.0,12123.44,Taj Residencia,Punjab,Taj Residencia
52034659,Rawalpindi,Rawalpindi Houses,,4.0,5.0,1.0,2.0,1.0,1.5, For Sale,"Yousaf Colony, Rawalpindi, Punjab, ",Relatively New,544.0,27573.53,Yousaf Colony,Punjab,Yousaf Colony
49684657,Rawalpindi,Rawalpindi Houses,2.0,3.0,5.0,1.0,2.0,0.0,5.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20573.11,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi
50642806,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,7.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4900.0,16224.49,Bahria Greens ,Punjab,Bahria Town Rawalpindi
47453112,,,2.0,5.0,5.0,1.0,1.0,1.0,3.5, For Sale,"Askari 13, Rawalpindi, Punjab, ",Moderately Old,2722.0,12858.19,Askari 13,Punjab,Askari 13
51790580,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,1.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,3267.0,13774.1,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51790423,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,0.0,5.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20573.11,Bahria Greens ,Punjab,Bahria Town Rawalpindi
51767573,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,0.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,16531.96,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
51766748,Rawalpindi,Rawalpindi Houses,3.0,5.0,5.0,1.0,2.0,1.0,5.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,21675.24,Bahria Greens ,Punjab,Bahria Town Rawalpindi
49940155,Rawalpindi,Rawalpindi Houses,,6.0,6.0,1.0,2.0,1.0,11.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,21120.29,Bahria Town Phase 1,Punjab,Bahria Town Rawalpindi
